,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
9.79_836.5499,22600.556577103383,1389953.5822107722,2226.9482593103444,2163.381659310344,6541.507259310326,1659342.0691482718,1015909.2791482732,652406.5866364869,764916.6746137901
10.45_836.542,16.66817714482756,5524.378494234895,0.0,0.0,8.20620486206896,7954.063104327562,4978.841800034461,5720.418412764872,3662.4100295957
3.24_860.5346,4318.12844,70731.608696875,15072.944199999998,42314.66559999999,0.0,106084.27497950001,65217.17755,142535.37709090908,84796.96758620691
9.21_860.5321,24.26689255172412,3257.3737049568954,0.0,0.0,0.0,4035.4031610344805,2562.3548996551704,2368.8221929153588,980.4749032104626
9.65_860.5475,13770.818286344793,822061.3400310337,0.0,192.213619310345,5072.877428965512,840184.4595965507,661412.8980965507,549409.181222068,309991.5587862065
9.79_860.5467,2769.899731172413,141787.44815387914,73.552048275862,0.0,2.11060113793103,141551.87274137916,115499.81734137921,96778.0741351723,90382.22711724124
9.86_812.5457,13150.057338786186,640229.2783918947,3208.44010675862,1934.2940533793098,3358.72108006896,833585.3452668943,449651.8102535504,361637.12007537246,318681.08888758573
10.1_812.5456,9181.654376462666,917851.5126724963,21.422867870262,1255.3871357405242,743.0143018053931,1284785.325339351,639412.2685723833,471636.83023610176,362780.1212014201
8.36_790.5608,28.501764,3892.448146875,0.0,0.0,0.0,6462.320790000001,2109.57588,2064.1918090909094,698.4007793103449
9.05_790.5631,1294.7582613793081,15490.998720581876,532.87486137931,217.91346137931,832.257892068965,18628.98149948274,14423.687199482747,10918.225020501548,3596.4833099881016
9.9_790.5636,10401.557176551722,158144.0485038792,16831.146153103437,12469.76106482758,11091.228576551719,205646.7596193102,118873.67640310335,102723.4108638243,74606.02057931018
7.61_271.2263,368.9436503448263,138.5336787715513,557.6441765517226,381.8278510344824,145.30005103448195,186.09055241379275,238.24265327586153,160.43972871473292,316.1480390011879
7.72_271.2262,837.3940470344799,913.0577130387898,453.84604827586026,728.3563862068947,938.2724282758596,901.8751872413756,985.9547122413758,835.8846409404357,922.4096171224697
7.43_271.226,351.14391641379285,303.4814711206894,463.03863310344803,416.250049655172,213.28754965517214,331.579737241379,265.193124827586,136.61993467084622,161.60402853745526
9.5_271.2264,1785.0094921379268,1053.8582936422376,1499.423237241376,1317.096437241376,1105.5842372413758,822.6381918965484,1180.213651206893,1396.5765484639453,1667.4532646848945
9_271.2265,71173.9267206896,159992.6952581891,100422.86432068923,91553.77632068947,79931.13232068953,183665.18182068906,131988.18082068916,118265.24613887104,122991.34638965453
9.28_271.2266,304.1843795862064,443.14427176724075,282.62017241379306,143.95513241379305,422.8916124137924,582.8646205172403,287.8695903448271,341.7349010658301,292.043625208085
